variable,estimate,s.e.,sample
ratio k,48.12225830230484,NA,1945-2005
sigma2 / b^2,10249.92422715534,9.653037311529243,1945-2005
sigm2_u / nb^2,164416.5004127405,,1945-2005
B0,-5348.952969025239,2044.028640418869,1945-2005
var_b0,394093.9769832678,NA,1945-2005
(b_0USA-B0)/b,241.3493561859904,NA,1945-2005
