seed,type,N,T,ρ_estimate,ρ_start,ρ_lower,ρ_upper,σₐ²_estimate,σₐ²_start,σₐ²_lower,σₐ²_upper,σᵤ²_estimate,σᵤ²_start,σᵤ²_lower,σᵤ²_upper,iterations,LL,V_norm_finalstep,V_norm_true,V,b₀₁,b₀₂,b₀₃,b₀₄,β₁,β₂,runtime,notes
real data,Estimated,4,60,0.8785,0.8785,0.878,0.879,1.069,1.0,0.0001,Inf,16.206,0.1,0.0001,Inf,2,-2.6833238481e11,0.0,,,378017.714,-45391.353,347855.764,314643.981,26517.938,-6.618,2022-01-30 13:42:06,Estimated parameters after convergence of the iterative method
,blank line,4,60,,,,,,,,,,,,,,,,,,,,,,,,,Row intentionally left blank for visual reasons.
real data,First-pass OLS Estimate,4,60,,,,,,,,,,,,,0,,,,,312489.7,-110919.366,282327.75,249115.967,32574.75,-108.555,2022-01-30 13:42:06,This is the first-pass OLS estimate of b₀ᵢ and β using real data (using GLS with the identity matrix).
real data,Estimated,4,60,0.8785,0.8785,0.878,0.879,1.035,1.0,0.0001,Inf,16.224,1.0,0.0001,Inf,2,-2.68042170896e11,0.0,,,378017.714,-45391.353,347855.764,314643.98,26517.938,-6.618,2022-01-30 13:42:28,Estimated parameters after convergence of the iterative method
,blank line,4,60,,,,,,,,,,,,,,,,,,,,,,,,,Row intentionally left blank for visual reasons.
real data,First-pass OLS Estimate,4,60,,,,,,,,,,,,,0,,,,,312489.7,-110919.366,282327.75,249115.967,32574.75,-108.555,2022-01-30 13:42:28,This is the first-pass OLS estimate of b₀ᵢ and β using real data (using GLS with the identity matrix).
real data,Estimated,4,60,0.8785,0.8785,0.878,0.879,1.019,1.0,0.0001,Inf,16.232,2.0,0.0001,Inf,2,-2.67910664001e11,0.0,,,378017.713,-45391.353,347855.763,314643.98,26517.938,-6.618,2022-01-30 13:42:52,Estimated parameters after convergence of the iterative method
,blank line,4,60,,,,,,,,,,,,,,,,,,,,,,,,,Row intentionally left blank for visual reasons.
real data,First-pass OLS Estimate,4,60,,,,,,,,,,,,,0,,,,,312489.7,-110919.366,282327.75,249115.967,32574.75,-108.555,2022-01-30 13:42:52,This is the first-pass OLS estimate of b₀ᵢ and β using real data (using GLS with the identity matrix).
real data,Estimated,4,60,0.8785,0.8785,0.878,0.879,1.005,1.0,0.0001,Inf,16.24,5.0,0.0001,Inf,2,-2.6779157949e11,0.0,,,378017.713,-45391.354,347855.763,314643.98,26517.938,-6.618,2022-01-30 13:43:12,Estimated parameters after convergence of the iterative method
