seed,type,N,T,b₀ᵢ,β,ρ,σₐ²,σᵤ²,iterations,LL,V_norm_finalstep,V_norm_true,V,runtime,notes
real data,First-pass OLS Estimate,4,60,"[312489.70018994424, -110919.366476723]","[-30161.94999999952, -63373.733333332224]",,,,0,,,,,2022-01-27 01:58:26,This is the first-pass OLS estimate of b₀ᵢ and β using real data (using GLS with the identity matrix).
real data,Estimated,4,60,"[378017.7135835285, -45391.35308313847]","[-30161.95000000025, -63373.733333333585]",0.8785000026095656,1.034756550652023,16.223967063215056,2,-2.680421708961815e11,0.0,,,2022-01-27 02:01:34,"Estimated parameters after convergence of the iterative method using the following values: lower param bounds 0.878, 0.0001, 0.0001 :: upper param bounds 0.879, Inf, Inf :: starting params ρ, σᵤ², σₐ²: 0.8785, 1.0, 1.0"
