seed,N,T,ρ_true,ρ_est,ρ_start,ρ_lower,ρ_upper,σₐ²_true,σₐ²_est,σₐ²_start,σₐ²_lower,σₐ²_upper,σᵤ²_true,σᵤ²_est,σᵤ²_start,σᵤ²_lower,σᵤ²_upper,LL,runtime,notes
65,4,60,0.8785,0.8785,0.8785,0.878,0.879,0.0001,0.00010685813253008547,3.6288344,0.0001,Inf,0.0001,0.0001072571560629676,3.6288344,0.0001,Inf,929.6874481148925,2023-02-09 23:18:54,Estimated parameters after simple MLE with no GLS (no trend)
40,4,60,0.8785,0.8785,0.8785,0.878,0.879,0.0001,0.00011036662758323601,3.6288344,0.0001,Inf,0.0001,0.00010145240585890392,3.6288344,0.0001,Inf,937.6881205735592,2023-02-09 23:18:55,Estimated parameters after simple MLE with no GLS (no trend)
77,4,60,0.8785,0.8785,0.8785,0.878,0.879,0.0001,0.00010086118922947307,3.6288344,0.0001,Inf,0.0001,0.00010429485416096895,3.6288344,0.0001,Inf,938.8733427795426,2023-02-09 23:18:58,Estimated parameters after simple MLE with no GLS (no trend)
89,4,60,0.8785,0.8785,0.8785,0.878,0.879,0.0001,0.0001140009488427296,3.6288344,0.0001,Inf,0.0001,0.00010165372604253875,3.6288344,0.0001,Inf,936.6376761329976,2023-02-09 23:18:58,Estimated parameters after simple MLE with no GLS (no trend)
27,4,60,0.8785,0.8785,0.8785,0.878,0.879,0.0001,0.00011884234887959977,3.6288344,0.0001,Inf,0.0001,0.00010051709841496503,3.6288344,0.0001,Inf,941.6077986672125,2023-02-09 23:18:58,Estimated parameters after simple MLE with no GLS (no trend)
53,4,60,0.8785,0.8785,0.8785,0.878,0.879,0.0001,0.00010029455664417597,3.6288344,0.0001,Inf,0.0001,0.00011199348264190334,3.6288344,0.0001,Inf,945.3660481405382,2023-02-09 23:18:59,Estimated parameters after simple MLE with no GLS (no trend)
1,4,60,0.8785,0.8785,0.8785,0.878,0.879,0.0001,0.00010109393751500662,3.6288344,0.0001,Inf,0.0001,0.00012335016877917937,3.6288344,0.0001,Inf,919.2706574677997,2023-02-09 23:19:00,Estimated parameters after simple MLE with no GLS (no trend)
14,4,60,0.8785,0.8785,0.8785,0.878,0.879,0.0001,0.00010037267518114845,3.6288344,0.0001,Inf,0.0001,0.0001260801120879229,3.6288344,0.0001,Inf,928.9530682853044,2023-02-09 23:19:00,Estimated parameters after simple MLE with no GLS (no trend)
41,4,60,0.8785,0.8785,0.8785,0.878,0.879,0.0001,0.00013601074813074376,3.6288344,0.0001,Inf,0.0001,0.00010580008911365013,3.6288344,0.0001,Inf,926.2677420192304,2023-02-09 23:19:44,Estimated parameters after simple MLE with no GLS (no trend)
66,4,60,0.8785,0.8785,0.8785,0.878,0.879,0.0001,0.00010032968769335682,3.6288344,0.0001,Inf,0.0001,0.00011768553840818541,3.6288344,0.0001,Inf,936.8075187282984,2023-02-09 23:19:53,Estimated parameters after simple MLE with no GLS (no trend)
78,4,60,0.8785,0.8785,0.8785,0.878,0.879,0.0001,0.00012069108053003319,3.6288344,0.0001,Inf,0.0001,0.00011342995072416429,3.6288344,0.0001,Inf,921.0026050525498,2023-02-09 23:19:54,Estimated parameters after simple MLE with no GLS (no trend)
15,4,60,0.8785,0.8785,0.8785,0.878,0.879,0.0001,0.00010400456125436719,3.6288344,0.0001,Inf,0.0001,0.00012192388066223359,3.6288344,0.0001,Inf,916.4628927777926,2023-02-09 23:19:54,Estimated parameters after simple MLE with no GLS (no trend)
2,4,60,0.8785,0.8785,0.8785,0.878,0.879,0.0001,0.0001085756444987318,3.6288344,0.0001,Inf,0.0001,0.00011509909379991967,3.6288344,0.0001,Inf,921.4062287741081,2023-02-09 23:19:54,Estimated parameters after simple MLE with no GLS (no trend)
90,4,60,0.8785,0.8785,0.8785,0.878,0.879,0.0001,0.00010033528061281771,3.6288344,0.0001,Inf,0.0001,0.00011935684531128032,3.6288344,0.0001,Inf,936.1319837862189,2023-02-09 23:19:58,Estimated parameters after simple MLE with no GLS (no trend)
