seed,type,N,T,b₀ᵢ,β,ρ,σₐ,σᵤ,iterations,LL,V_norm_finalstep,V_norm_true,V
6,Sample,2,10,,,,1.8380957455236349,4.0448341639351,,,,,
6,Estimated,2,10,"[-20.062298340678172, -1.384439527082808]","[1.0904349986237927, 0.09644225877413927]",0.010000000000000002,0.010000000000000002,0.9344359971493786,5,-8.644064755899937,7.376559903587583e-18,85.12335585889676,
7,True,2,10,"[-4.367936713637636, 19.856224858441557]","[1.0, 0.1]",0.85,1,1,,-Inf,,,
7,Sample,2,10,,,,3.2617110480203375,6.936341053872684,,,,,
7,Estimated,2,10,"[-5.231774584816794, 18.85352384246965]","[0.8236302436542471, 0.126316929343854]",0.011073439571497336,0.010000000000000002,1.1655187005014584,10,-13.063428002552774,6.82755451067672e-8,84.43332148470455,
8,True,2,10,"[-4.055422868676964, -0.2961763897970211]","[1.0, 0.1]",0.85,1,1,,-Inf,,,
8,Sample,2,10,,,,5.487733152220428,5.17226224279531,,,,,
8,Estimated,2,10,"[-4.449661728432126, -1.0446005205592215]","[1.499549916060125, 0.06638811725004409]",0.28345031031027546,0.010000000000000002,1.2152427708691236,10,-14.053916898997048,1.3557509070231555e-6,82.69810892408222,
9,True,2,10,"[-2.627578050175094, 0.2635232095248958]","[1.0, 0.1]",0.85,1,1,,-Inf,,,
9,Sample,2,10,,,,3.2502024352284105,4.309279864383592,,,,,
9,Estimated,2,10,"[-6.157292110411271, -3.3455665062189803]","[2.6868020721823536, -0.015575481752811591]",0.010000000000000002,0.010000000000000096,1.0548164792217505,10,-11.068205731541413,1.3763490891111454e-10,84.77833476726661,
10,True,2,10,"[3.4105665015215996, -0.5408033548378681]","[1.0, 0.1]",0.85,1,1,,-Inf,,,
10,Sample,2,10,,,,3.455052683399325,2.3456950969365296,,,,,
10,Estimated,2,10,"[4.739363268411458, 0.5018516042100822]","[-0.07148714236159863, 0.18952611497297253]",0.010000000000000002,0.010000000000000014,0.9535392361412378,10,-9.049482537354223,5.2685221548173104e-11,85.07061882057887,
1,True,2,25,"[-0.7058313895389791, 5.314767537831963]","[1.0, 0.1]",0.85,1,1,,-Inf,,,
1,Sample,2,25,,,,10.788047340504061,12.139826991236323,,,,,
1,Estimated,2,25,"[0.9925154983915391, 7.074880099608807]","[0.7744229042116144, 0.10958483613331409]",0.6796270424172826,0.6250048497680442,1.2306380552855118,10,-43.2389342042779,0.0003885359590765571,114.90908811116134,
2,True,2,25,"[-0.05737244600260246, 17.35376213870901]","[1.0, 0.1]",0.85,1,1,,-Inf,,,
2,Sample,2,25,,,,14.406709990569151,8.593902696083116,,,,,
2,Estimated,2,25,"[-1.0557490258437328, 16.364514343562433]","[1.3669315274105376, 0.08448379624117014]",0.5497841370566331,0.694015996622806,0.976112449198835,9,-33.69669994392644,0.0,135.88037565198013,
3,True,2,25,"[-6.637635515551271, 13.632084599735597]","[1.0, 0.1]",0.85,1,1,,-Inf,,,
3,Sample,2,25,,,,9.375419011810306,10.09054013312572,,,,,
3,Estimated,2,25,"[-1.8095322063231507, 18.25137427862536]","[0.06715576166389937, 0.13452173640163706]",0.4942822017497694,0.669452454808036,0.9325961794785605,10,-31.227061789255927,5.964328681243043e-8,139.99913437393954,
4,True,2,25,"[17.07371258640649, 20.015123867881837]","[1.0, 0.1]",0.85,1,1,,-Inf,,,
4,Sample,2,25,,,,14.532634272877878,10.785245708696499,,,,,
4,Estimated,2,25,"[15.3478641818444, 18.236096809317647]","[1.201454571333538, 0.10058631911490866]",0.6424858924164337,0.8434915073573296,1.029345110663673,10,-38.69553086068921,4.720575803126952e-6,120.95357579688444,
5,True,2,25,"[0.17205046232868315, 12.623658511338068]","[1.0, 0.1]",0.85,1,1,,-Inf,,,
5,Sample,2,25,,,,8.978646098253915,7.69924244355181,,,,,
5,Estimated,2,25,"[-0.9461382570388275, 11.665352255226638]","[1.3731274767840427, 0.08353957246039828]",0.7624464702459297,0.4673736545347208,0.882733134272713,10,-27.887334177454782,0.0,118.34407652279437,
6,True,2,25,"[-19.757885774187898, -0.9383409762557428]","[1.0, 0.1]",0.85,1,1,,-Inf,,,
6,Sample,2,25,,,,10.87234424311984,8.795527548474547,,,,,
6,Estimated,2,25,"[-22.949927148428245, -3.87789256065588]","[1.7128823491059753, 0.0789884823175494]",0.4914814505812074,0.9361050056964476,0.9152975672706335,8,-35.293992131413596,0.0,135.08846848614883,
7,True,2,25,"[-4.367936713637636, 19.856224858441557]","[1.0, 0.1]",0.85,1,1,,-Inf,,,
7,Sample,2,25,,,,18.65672390437998,6.125316373875138,,,,,
7,Estimated,2,25,"[-5.561200376953387, 18.749906163410905]","[1.218004622410605, 0.08542846522690167]",0.14854742510399346,0.8721785457212345,0.6739974492638496,5,-23.668653575511083,0.0,146.8819507623786,
8,True,2,25,"[-4.055422868676964, -0.2961763897970211]","[1.0, 0.1]",0.85,1,1,,-Inf,,,
8,Sample,2,25,,,,16.34292779056001,9.607025936694829,,,,,
8,Estimated,2,25,"[-7.0691078065252935, -3.2766919406193415]","[1.7734398985546005, 0.0740036839120977]",0.10326235540304024,1.0990252747597644,0.8101344088523932,8,-33.773658455634006,0.0,144.89425728338387,
9,True,2,25,"[-2.627578050175094, 0.2635232095248958]","[1.0, 0.1]",0.85,1,1,,-Inf,,,
9,Sample,2,25,,,,13.10268604568838,10.121136985164453,,,,,
9,Estimated,2,25,"[-4.361701291194317, -1.9432269824196995]","[1.3814436108429653, 0.09096714929305716]",0.4939046287013025,1.0042326062440023,0.9299017614667617,10,-36.99654180276751,2.212519919954377e-6,133.16020305914128,
10,True,2,25,"[3.4105665015215996, -0.5408033548378681]","[1.0, 0.1]",0.85,1,1,,-Inf,,,
10,Sample,2,25,,,,8.979465219006247,7.864151368585463,,,,,
10,Estimated,2,25,"[2.8374413212717777, -1.1662852833650832]","[0.9687093900341173, 0.10149233478963866]",0.3635118083710112,0.010000000000000002,0.9454042402332237,10,-22.85272716700269,3.107027329196598e-8,147.92724369665845,
1,True,2,50,"[-0.7058313895389791, 5.314767537831963]","[1.0, 0.1]",0.85,1,1,,-Inf,,,
1,Sample,2,50,,,,24.721910531824914,25.403635681799777,,,,,
1,Estimated,2,50,"[-1.2001751661263202, 4.826146911337106]","[1.1683547078150986, 0.09616305724044528]",0.6912534298478031,0.5683444949155084,1.1813579478192922,8,-81.59146515994706,0.0,171.68023024097874,
2,True,2,50,"[-0.05737244600260246, 17.35376213870901]","[1.0, 0.1]",0.85,1,1,,-Inf,,,
2,Sample,2,50,,,,22.22371032820476,22.566871440213898,,,,,
2,Estimated,2,50,"[-1.4063045359369448, 15.736694985857726]","[1.144952236542836, 0.09961289511185684]",0.8130165521789592,0.5028314495673417,1.0793208196144948,8,-75.14374030360221,0.0,120.15140892816746,
3,True,2,50,"[-6.637635515551271, 13.632084599735597]","[1.0, 0.1]",0.85,1,1,,-Inf,,,
3,Sample,2,50,,,,21.219597993757183,22.6072949567704,,,,,
3,Estimated,2,50,"[-7.268146790063653, 13.103437348152312]","[1.1071427626163646, 0.09887673676560878]",0.8107258009756181,0.6438968165594217,1.0308952762482997,10,-74.54311257649184,0.0,115.03369542008076,
4,True,2,50,"[17.07371258640649, 20.015123867881837]","[1.0, 0.1]",0.85,1,1,,-Inf,,,
4,Sample,2,50,,,,32.63798244492519,21.856781672988525,,,,,
4,Estimated,2,50,"[15.224077911400896, 18.065826176765956]","[1.2292630449090076, 0.096581974344258]",0.7228188991389287,1.0102653653055609,0.8997595838464895,7,-73.82534224647378,0.0,146.99525567829383,
5,True,2,50,"[0.17205046232868315, 12.623658511338068]","[1.0, 0.1]",0.85,1,1,,-Inf,,,
5,Sample,2,50,,,,17.6875673643079,20.54236070230102,,,,,
5,Estimated,2,50,"[0.5163202016218897, 12.95641583743045]","[0.8782844055975981, 0.1022426259581106]",0.7999924823484735,0.6957339172613188,0.9490889431772358,10,-69.045331769879,0.00012043759830480902,128.7442721065775,
6,True,2,50,"[-19.757885774187898, -0.9383409762557428]","[1.0, 0.1]",0.85,1,1,,-Inf,,,
6,Sample,2,50,,,,21.51128246264581,20.431766648817117,,,,,
6,Estimated,2,50,"[-18.457590403571555, 0.3296907406318361]","[0.9348075981142069, 0.10136865100171241]",0.5274375416806278,0.8156195166421695,1.0141631388478356,8,-73.87236816504536,0.0,197.22093980115199,
7,True,2,50,"[-4.367936713637636, 19.856224858441557]","[1.0, 0.1]",0.85,1,1,,-Inf,,,
7,Sample,2,50,,,,25.711453427038876,20.11942165667994,,,,,
7,Estimated,2,50,"[-7.255865597032338, 16.850852840396435]","[1.1995002701563215, 0.09655249814427125]",0.4246048116348249,0.8092489216082722,1.0083388247755471,5,-72.4465889079545,0.0,205.12392952015753,
8,True,2,50,"[-4.055422868676964, -0.2961763897970211]","[1.0, 0.1]",0.85,1,1,,-Inf,,,
8,Sample,2,50,,,,25.938840426892337,18.531146188706717,,,,,
