seed,type,N,T,b₀ᵢ,β,ρ,σₐ,σᵤ,iterations,LL,V_norm_finalstep,V_norm_true,V
1,True,4,50,"[-0.7058313895389791, 5.314767537831963, -8.06852326006714, 24.56991333983293]","[1.0, 0.1]",0.85,1,1,,-Inf,,,
1,Sample,4,50,,,,45.25026990013672,48.28313863072241,,,,,
1,Estimated,4,50,"[-1.1719449846209251, 4.818554138331768, -8.06852326006714, 24.56991333983293]","[-7.277885515573745, 25.340584813008945]",0.5887404964597931,0.7460179365840955,1.1405421374205247,7,-153.26375302668157,0.0,297.4101870968817,
2,True,4,50,"[-0.05737244600260246, 17.35376213870901, -10.499249292429235, 5.753709361353411]","[1.0, 0.1]",0.85,1,1,,-Inf,,,
2,Sample,4,50,,,,43.61652753313405,41.0587614719281,,,,,
2,Estimated,4,50,"[-1.0194984700428864, 16.53581893485972, -10.499249292429235, 5.753709361353411]","[-10.470791980005238, 5.635084929018525]",0.7207944941519715,0.7234139051360244,1.0273556878437613,6,-136.04631330319938,0.0,260.7912571933103,
3,True,4,50,"[-6.637635515551271, 13.632084599735597, 7.174105899241786, 6.7874306242339335]","[1.0, 0.1]",0.85,1,1,,-Inf,,,
3,Sample,4,50,,,,41.91079605903769,36.62710570287908,,,,,
3,Estimated,4,50,"[-7.947845844487715, 12.324494907298135, 7.174105899241786, 6.7874306242339335]","[13.801679679378497, 13.448876918871502]",0.7287576959205971,0.7743319460380717,0.9514719325712597,10,-125.31274406402416,2.7206669184079544e-7,254.1253872191997,
4,True,4,50,"[17.07371258640649, 20.015123867881837, -13.910227569932225, 6.41010650010951]","[1.0, 0.1]",0.85,1,1,,-Inf,,,
4,Sample,4,50,,,,63.174626865333664,40.80420130144628,,,,,
4,Estimated,4,50,"[15.498465858226618, 18.223955923729978, -13.910227569932225, 6.41010650010951]","[-31.122086974068438, -10.960149447134349]",0.7743059901525817,0.9938727686837548,1.0232843023984945,6,-146.45764452635197,0.0,165.07441220489017,
5,True,4,50,"[0.17205046232868315, 12.623658511338068, -5.38783938963471, -5.625859472139973]","[1.0, 0.1]",0.85,1,1,,-Inf,,,
5,Sample,4,50,,,,35.506161468046244,41.425596901425095,,,,,
5,Estimated,4,50,"[1.8158384589807797, 14.338480163536813, -5.38783938963471, -5.625859472139973]","[-5.501667029701875, -5.696105593694475]",0.7635989642234966,0.6980592316004448,1.0276838091526332,10,-135.67713852398532,2.44134696512794e-7,237.45241278868062,
6,True,4,50,"[-19.757885774187898, -0.9383409762557428, -8.72228651890225, -0.06641183306984]","[1.0, 0.1]",0.85,1,1,,-Inf,,,
6,Sample,4,50,,,,45.198385582030255,39.65273778662771,,,,,
6,Estimated,4,50,"[-17.26067978971358, 1.511724378930861, -8.72228651890225, -0.06641183306984]","[11.152428868393617, 19.429225221740044]",0.6572469779940241,0.8840669386382627,1.01241715960789,8,-139.4131702445648,0.0,269.8750612501374,
7,True,4,50,"[-4.367936713637636, 19.856224858441557, -16.424770534206527, 11.303361191701262]","[1.0, 0.1]",0.85,1,1,,-Inf,,,
7,Sample,4,50,,,,50.07245981707166,39.061495130043895,,,,,
7,Estimated,4,50,"[-5.44088714800666, 18.786111951677388, -16.424770534206527, 11.303361191701262]","[-11.916388152186926, 15.831102859771761]",0.47141714399481666,0.7559307607889237,1.0123039719237743,5,-132.68524359979438,0.0,316.9699663179291,
8,True,4,50,"[-4.055422868676964, -0.2961763897970211, -17.184169587580925, 1.7176146564966714]","[1.0, 0.1]",0.85,1,1,,-Inf,,,
8,Sample,4,50,,,,48.675710411547556,45.20443300026484,,,,,
8,Estimated,4,50,"[-2.3163594850922546, 1.8717812060807173, -17.184169587580925, 1.7176146564966714]","[-12.965444472668686, 5.835257549097038]",0.7416955945842586,0.9563024581779037,1.0200350653270185,10,-144.21871772948475,2.654940771785616e-7,208.80092316829789,
9,True,4,50,"[-2.627578050175094, 0.2635232095248958, -4.880484432760141, -0.5698068030480195]","[1.0, 0.1]",0.85,1,1,,-Inf,,,
9,Sample,4,50,,,,53.38473482246979,40.81040455323731,,,,,
9,Estimated,4,50,"[-1.2832388969550077, 1.8301748916556335, -4.880484432760141, -0.5698068030480195]","[-2.2671012396168377, 2.1530939812016503]",0.7330878596384338,1.0426004937926754,0.994034800514104,8,-143.11106353316617,0.0,201.46389024166766,
10,True,4,50,"[3.4105665015215996, -0.5408033548378681, 4.714032004737096, -2.28036917323895]","[1.0, 0.1]",0.85,1,1,,-Inf,,,
10,Sample,4,50,,,,37.39398817427889,36.47884563842104,,,,,
10,Estimated,4,50,"[4.969235808778652, 0.7692506064734266, 4.714032004737096, -2.28036917323895]","[1.3437836639627194, -5.840406785377521]",0.6207454386369524,0.8059420177124681,0.9381527445219892,10,-123.2996072288018,7.982382444986467e-8,291.9247940461543,
